user_proposed_budget,location,season,duration_days,group_size,trip_type,distance_km,hotel_quality,rating_1_5,review_polarity,weather_score,time_flexibility,has_paid_activities,paid_activities_count,avg_activity_cost,has_paid_visits,paid_visits_count,avg_visit_cost,ambiguity_level,budget_usd,accept_recommendation
17463.17920638406,7,4,13,15,3,478.8300501500231,5,3.312037280884873,0.15599452033620265,0.4348501673009197,0.7929409166199481,1,3,18.166541402924956,1,4,15.851850671045552,0.4666666666666667,9230.19314570471,-1.0
30306.459137688416,5,1,12,12,1,210.17602710892305,3,3.799721943430511,0.04666566321361543,0.9842533113048755,0.28621707234424343,0,0,0.0,1,4,27.125781169385196,0.26666666666666666,8958.762034205702,1.0
3951.3363050899447,3,1,3,7,5,297.77458858324866,2,4.897771074506666,0.9656320330745594,0.8850384088698766,0.34369101533869656,0,0,0.0,1,7,22.745969824379163,0.4666666666666667,1152.9370960472897,1.0
14146.914056616564,8,3,3,14,1,192.32898988000932,4,3.623422152178822,0.5200680211778108,0.7280261676059678,0.24788356442042164,1,2,25.171534002864096,1,4,16.016250797233628,0.4,3357.821220502289,1.0
9534.93717063185,8,2,7,8,5,263.7725093292151,2,4.0793842647781595,0.5867511656638482,0.9791531843584828,0.5856273981493477,1,5,28.792928899663902,0,0,0.0,0.3333333333333333,2178.4407186841895,1.0
9654.436147295444,8,1,12,8,3,159.36332224884285,3,4.580351081062411,0.6059599747810114,0.9557805271080094,0.6208616204015556,1,1,26.954720516486475,1,7,14.247381636882809,0.5333333333333333,3563.2299876584807,1.0
2630.7660332329347,3,4,8,3,1,260.6097811145844,3,4.521570097233795,0.5612771975694962,0.8625803079727365,0.49503647709151266,1,2,28.61572733813326,0,0,0.0,0.13333333333333333,1335.9557004195947,-1.0
2436.813086840094,7,1,4,4,5,187.11072603188123,5,4.079682182603346,0.2030612247347694,0.9657121423347886,0.5790923731908288,1,4,26.340137643133833,1,1,11.357965604350893,0.3333333333333333,801.4601022062776,1.0
19427.862372257296,4,2,14,11,2,117.14837508537035,1,3.6360069499437278,0.11005192452767676,0.536761097525165,0.4416862309010051,1,1,35.522879021997724,0,0,0.0,0.06666666666666667,6003.841382860974,1.0
6216.279605888098,5,1,3,10,4,184.2690372362758,3,3.6464058640415105,0.5187906217433661,0.8218113753371068,0.39090368190343516,1,4,40.40213823082316,1,3,24.82390686242247,0.4666666666666667,2383.727380970063,-1.0
1264.7503977444055,1,3,1,2,2,276.0703573250272,5,3.690142496053366,0.6343513447013638,0.80842327093286,0.5247476666537091,1,4,34.7441761648954,1,1,27.331949320764913,0.3333333333333333,449.0004042636217,1.0
9079.030059018363,4,2,6,11,1,132.89464918098622,3,3.3730370207997087,0.040775141554763916,0.754535765912945,0.642051489473826,0,0,0.0,1,3,21.719556448404028,0.2,4257.728131691543,-1.0
5277.007145249274,9,1,8,7,2,510.74055824903036,3,3.682132702100517,0.11347352124058907,0.9548161709671377,0.8018714827047848,1,4,20.951191268166486,1,4,14.620770053252757,0.5333333333333333,2111.252324237631,1.0
27874.34784018286,5,1,11,9,1,242.0652660369635,3,4.7126485837561845,0.4045081271221901,0.9326620592565759,0.7807427590140102,1,4,52.12026997450579,1,3,25.594281191319617,0.4666666666666667,6544.60107412852,1.0
4672.663200156306,9,1,2,14,2,317.0875644724246,3,4.3039225190052015,0.22426930946055978,0.8273075328085215,0.2897992699974401,1,4,22.79603108931646,1,3,15.360361356363946,0.4666666666666667,1406.523043194922,1.0
12238.701980230388,11,3,6,14,5,317.7081841277003,3,3.8687887310208575,0.3500784076946757,0.7870620172183389,0.6351392477304797,1,4,31.470232844647246,1,3,19.201889131813083,0.4666666666666667,6119.713568392021,-1.0
4623.730613492667,5,2,3,9,5,560.5752094232489,1,4.105529933670979,0.5722924691708383,0.9881989502296274,0.1602770048049026,1,1,41.661667356987664,0,0,0.0,0.06666666666666667,1404.0495584319515,1.0
6222.906733299568,6,2,3,8,2,388.2539746845434,2,3.5083272981394775,0.29529058841893874,0.5935304585431603,0.7789358359397396,0,0,0.0,1,7,21.210252032705966,0.4666666666666667,1583.6019931452379,1.0
9858.822214301346,3,2,9,13,4,331.23831937351576,1,4.255788829897272,0.19427395351204224,0.4425645501999566,0.4174270617711108,0,0,0.0,1,7,20.137767974317473,0.4666666666666667,4635.4440216562125,-1.0
37163.02688404047,7,3,6,19,1,135.2728892002593,5,4.677867004138727,0.8604046183116753,0.5501508163095185,0.13106778754353857,1,3,19.123839155800415,1,5,12.253705364538671,0.5333333333333333,8597.70712918145,1.0
5377.822341367463,7,4,6,13,4,276.2446477811732,3,4.2748598029964135,0.7260913337226615,0.9855112476775207,0.5130402786409562,1,1,21.56716501948916,1,2,11.212111350677397,0.2,2752.3756219914185,-1.0
14204.054208640222,5,2,7,9,4,274.92411942784844,2,4.830427455252961,0.44235222973110444,0.543872415494442,0.1750986320650334,0,0,0.0,1,1,31.879695768886744,0.06666666666666667,3788.2526569047327,1.0
